"date","city","price_index","source"
2016-01-01,"Hamilton",97.4,"StatCan NHPI 18-10-0205-01"
2016-02-01,"Hamilton",97.9,"StatCan NHPI 18-10-0205-01"
2016-03-01,"Hamilton",97.9,"StatCan NHPI 18-10-0205-01"
2016-04-01,"Hamilton",97.9,"StatCan NHPI 18-10-0205-01"
2016-05-01,"Hamilton",98.1,"StatCan NHPI 18-10-0205-01"
2016-06-01,"Hamilton",98.1,"StatCan NHPI 18-10-0205-01"
2016-07-01,"Hamilton",98.8,"StatCan NHPI 18-10-0205-01"
2016-08-01,"Hamilton",99,"StatCan NHPI 18-10-0205-01"
2016-09-01,"Hamilton",99,"StatCan NHPI 18-10-0205-01"
2016-10-01,"Hamilton",99,"StatCan NHPI 18-10-0205-01"
2016-11-01,"Hamilton",99.7,"StatCan NHPI 18-10-0205-01"
2016-12-01,"Hamilton",100,"StatCan NHPI 18-10-0205-01"
2017-01-01,"Hamilton",100.6,"StatCan NHPI 18-10-0205-01"
2017-02-01,"Hamilton",101.6,"StatCan NHPI 18-10-0205-01"
2017-03-01,"Hamilton",101.6,"StatCan NHPI 18-10-0205-01"
2017-04-01,"Hamilton",101.6,"StatCan NHPI 18-10-0205-01"
2017-05-01,"Hamilton",101.6,"StatCan NHPI 18-10-0205-01"
2017-06-01,"Hamilton",101.6,"StatCan NHPI 18-10-0205-01"
2017-07-01,"Hamilton",103.1,"StatCan NHPI 18-10-0205-01"
2017-08-01,"Hamilton",103.1,"StatCan NHPI 18-10-0205-01"
2017-09-01,"Hamilton",103.1,"StatCan NHPI 18-10-0205-01"
2017-10-01,"Hamilton",103.1,"StatCan NHPI 18-10-0205-01"
2017-11-01,"Hamilton",103.1,"StatCan NHPI 18-10-0205-01"
2017-12-01,"Hamilton",103,"StatCan NHPI 18-10-0205-01"
2018-01-01,"Hamilton",103.2,"StatCan NHPI 18-10-0205-01"
2018-02-01,"Hamilton",103.1,"StatCan NHPI 18-10-0205-01"
2018-03-01,"Hamilton",103.2,"StatCan NHPI 18-10-0205-01"
2018-04-01,"Hamilton",103.4,"StatCan NHPI 18-10-0205-01"
2018-05-01,"Hamilton",103.6,"StatCan NHPI 18-10-0205-01"
2018-06-01,"Hamilton",103.7,"StatCan NHPI 18-10-0205-01"
2018-07-01,"Hamilton",103.8,"StatCan NHPI 18-10-0205-01"
2018-08-01,"Hamilton",103.9,"StatCan NHPI 18-10-0205-01"
2018-09-01,"Hamilton",103.5,"StatCan NHPI 18-10-0205-01"
2018-10-01,"Hamilton",103.7,"StatCan NHPI 18-10-0205-01"
2018-11-01,"Hamilton",103.8,"StatCan NHPI 18-10-0205-01"
2018-12-01,"Hamilton",103.8,"StatCan NHPI 18-10-0205-01"
2019-01-01,"Hamilton",103.8,"StatCan NHPI 18-10-0205-01"
2019-02-01,"Hamilton",103.8,"StatCan NHPI 18-10-0205-01"
2019-03-01,"Hamilton",103.6,"StatCan NHPI 18-10-0205-01"
2019-04-01,"Hamilton",103.9,"StatCan NHPI 18-10-0205-01"
2019-05-01,"Hamilton",103.9,"StatCan NHPI 18-10-0205-01"
2019-06-01,"Hamilton",104.6,"StatCan NHPI 18-10-0205-01"
2019-07-01,"Hamilton",104.7,"StatCan NHPI 18-10-0205-01"
2019-08-01,"Hamilton",104.6,"StatCan NHPI 18-10-0205-01"
2019-09-01,"Hamilton",104.8,"StatCan NHPI 18-10-0205-01"
2019-10-01,"Hamilton",104.3,"StatCan NHPI 18-10-0205-01"
2019-11-01,"Hamilton",104.4,"StatCan NHPI 18-10-0205-01"
2019-12-01,"Hamilton",104.4,"StatCan NHPI 18-10-0205-01"
2020-01-01,"Hamilton",104.4,"StatCan NHPI 18-10-0205-01"
2020-02-01,"Hamilton",104.6,"StatCan NHPI 18-10-0205-01"
2020-03-01,"Hamilton",105,"StatCan NHPI 18-10-0205-01"
2020-04-01,"Hamilton",105.1,"StatCan NHPI 18-10-0205-01"
2020-05-01,"Hamilton",105.2,"StatCan NHPI 18-10-0205-01"
2020-06-01,"Hamilton",105.1,"StatCan NHPI 18-10-0205-01"
2020-07-01,"Hamilton",106.7,"StatCan NHPI 18-10-0205-01"
2020-08-01,"Hamilton",108,"StatCan NHPI 18-10-0205-01"
2020-09-01,"Hamilton",110.5,"StatCan NHPI 18-10-0205-01"
2020-10-01,"Hamilton",110.5,"StatCan NHPI 18-10-0205-01"
2020-11-01,"Hamilton",110.7,"StatCan NHPI 18-10-0205-01"
2020-12-01,"Hamilton",111.7,"StatCan NHPI 18-10-0205-01"
2021-01-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-02-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-03-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-04-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-05-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-06-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-07-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-08-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-09-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-10-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-11-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2021-12-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2022-01-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2022-02-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-03-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-04-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-05-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-06-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-07-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-08-01,"Hamilton",116.8,"StatCan NHPI 18-10-0205-01"
2022-09-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2022-10-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2022-11-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2022-12-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2023-01-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2023-02-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2023-03-01,"Hamilton",116.1,"StatCan NHPI 18-10-0205-01"
2023-04-01,"Hamilton",116.2,"StatCan NHPI 18-10-0205-01"
2023-05-01,"Hamilton",115.5,"StatCan NHPI 18-10-0205-01"
2023-06-01,"Hamilton",115.5,"StatCan NHPI 18-10-0205-01"
2023-07-01,"Hamilton",115.6,"StatCan NHPI 18-10-0205-01"
2023-08-01,"Hamilton",115.6,"StatCan NHPI 18-10-0205-01"
2023-09-01,"Hamilton",115.7,"StatCan NHPI 18-10-0205-01"
2023-10-01,"Hamilton",115.2,"StatCan NHPI 18-10-0205-01"
2023-11-01,"Hamilton",114,"StatCan NHPI 18-10-0205-01"
2023-12-01,"Hamilton",114,"StatCan NHPI 18-10-0205-01"
2024-01-01,"Hamilton",114,"StatCan NHPI 18-10-0205-01"
2024-02-01,"Hamilton",114,"StatCan NHPI 18-10-0205-01"
2024-03-01,"Hamilton",114.2,"StatCan NHPI 18-10-0205-01"
2024-04-01,"Hamilton",114.2,"StatCan NHPI 18-10-0205-01"
2024-05-01,"Hamilton",114.2,"StatCan NHPI 18-10-0205-01"
2024-06-01,"Hamilton",114.1,"StatCan NHPI 18-10-0205-01"
2024-07-01,"Hamilton",114.1,"StatCan NHPI 18-10-0205-01"
2024-08-01,"Hamilton",114.2,"StatCan NHPI 18-10-0205-01"
2024-09-01,"Hamilton",114.1,"StatCan NHPI 18-10-0205-01"
2024-10-01,"Hamilton",114.2,"StatCan NHPI 18-10-0205-01"
2024-11-01,"Hamilton",114.2,"StatCan NHPI 18-10-0205-01"
2024-12-01,"Hamilton",113.9,"StatCan NHPI 18-10-0205-01"
2016-01-01,"Kitchener-Cambridge-Waterloo",96,"StatCan NHPI 18-10-0205-01"
2016-02-01,"Kitchener-Cambridge-Waterloo",96.1,"StatCan NHPI 18-10-0205-01"
2016-03-01,"Kitchener-Cambridge-Waterloo",96.2,"StatCan NHPI 18-10-0205-01"
2016-04-01,"Kitchener-Cambridge-Waterloo",97,"StatCan NHPI 18-10-0205-01"
2016-05-01,"Kitchener-Cambridge-Waterloo",97.3,"StatCan NHPI 18-10-0205-01"
2016-06-01,"Kitchener-Cambridge-Waterloo",97.4,"StatCan NHPI 18-10-0205-01"
2016-07-01,"Kitchener-Cambridge-Waterloo",97.5,"StatCan NHPI 18-10-0205-01"
2016-08-01,"Kitchener-Cambridge-Waterloo",98,"StatCan NHPI 18-10-0205-01"
2016-09-01,"Kitchener-Cambridge-Waterloo",98,"StatCan NHPI 18-10-0205-01"
2016-10-01,"Kitchener-Cambridge-Waterloo",98.7,"StatCan NHPI 18-10-0205-01"
2016-11-01,"Kitchener-Cambridge-Waterloo",99.2,"StatCan NHPI 18-10-0205-01"
2016-12-01,"Kitchener-Cambridge-Waterloo",100,"StatCan NHPI 18-10-0205-01"
2017-01-01,"Kitchener-Cambridge-Waterloo",101,"StatCan NHPI 18-10-0205-01"
2017-02-01,"Kitchener-Cambridge-Waterloo",101.5,"StatCan NHPI 18-10-0205-01"
2017-03-01,"Kitchener-Cambridge-Waterloo",101.7,"StatCan NHPI 18-10-0205-01"
2017-04-01,"Kitchener-Cambridge-Waterloo",103.2,"StatCan NHPI 18-10-0205-01"
2017-05-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2017-06-01,"Kitchener-Cambridge-Waterloo",103.7,"StatCan NHPI 18-10-0205-01"
2017-07-01,"Kitchener-Cambridge-Waterloo",103.7,"StatCan NHPI 18-10-0205-01"
2017-08-01,"Kitchener-Cambridge-Waterloo",103.7,"StatCan NHPI 18-10-0205-01"
2017-09-01,"Kitchener-Cambridge-Waterloo",103.7,"StatCan NHPI 18-10-0205-01"
2017-10-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2017-11-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2017-12-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2018-01-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2018-02-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2018-03-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2018-04-01,"Kitchener-Cambridge-Waterloo",103.6,"StatCan NHPI 18-10-0205-01"
2018-05-01,"Kitchener-Cambridge-Waterloo",103.8,"StatCan NHPI 18-10-0205-01"
2018-06-01,"Kitchener-Cambridge-Waterloo",103.8,"StatCan NHPI 18-10-0205-01"
2018-07-01,"Kitchener-Cambridge-Waterloo",103.8,"StatCan NHPI 18-10-0205-01"
2018-08-01,"Kitchener-Cambridge-Waterloo",103.8,"StatCan NHPI 18-10-0205-01"
2018-09-01,"Kitchener-Cambridge-Waterloo",103.8,"StatCan NHPI 18-10-0205-01"
2018-10-01,"Kitchener-Cambridge-Waterloo",103.8,"StatCan NHPI 18-10-0205-01"
2018-11-01,"Kitchener-Cambridge-Waterloo",103.9,"StatCan NHPI 18-10-0205-01"
2018-12-01,"Kitchener-Cambridge-Waterloo",103.9,"StatCan NHPI 18-10-0205-01"
2019-01-01,"Kitchener-Cambridge-Waterloo",103.9,"StatCan NHPI 18-10-0205-01"
2019-02-01,"Kitchener-Cambridge-Waterloo",104,"StatCan NHPI 18-10-0205-01"
2019-03-01,"Kitchener-Cambridge-Waterloo",104,"StatCan NHPI 18-10-0205-01"
2019-04-01,"Kitchener-Cambridge-Waterloo",104.3,"StatCan NHPI 18-10-0205-01"
2019-05-01,"Kitchener-Cambridge-Waterloo",104.3,"StatCan NHPI 18-10-0205-01"
2019-06-01,"Kitchener-Cambridge-Waterloo",104.5,"StatCan NHPI 18-10-0205-01"
2019-07-01,"Kitchener-Cambridge-Waterloo",104.4,"StatCan NHPI 18-10-0205-01"
2019-08-01,"Kitchener-Cambridge-Waterloo",106,"StatCan NHPI 18-10-0205-01"
2019-09-01,"Kitchener-Cambridge-Waterloo",107.6,"StatCan NHPI 18-10-0205-01"
2019-10-01,"Kitchener-Cambridge-Waterloo",107.7,"StatCan NHPI 18-10-0205-01"
2019-11-01,"Kitchener-Cambridge-Waterloo",107.8,"StatCan NHPI 18-10-0205-01"
2019-12-01,"Kitchener-Cambridge-Waterloo",107.8,"StatCan NHPI 18-10-0205-01"
2020-01-01,"Kitchener-Cambridge-Waterloo",107.8,"StatCan NHPI 18-10-0205-01"
2020-02-01,"Kitchener-Cambridge-Waterloo",108.8,"StatCan NHPI 18-10-0205-01"
2020-03-01,"Kitchener-Cambridge-Waterloo",109.4,"StatCan NHPI 18-10-0205-01"
2020-04-01,"Kitchener-Cambridge-Waterloo",109.9,"StatCan NHPI 18-10-0205-01"
2020-05-01,"Kitchener-Cambridge-Waterloo",110,"StatCan NHPI 18-10-0205-01"
2020-06-01,"Kitchener-Cambridge-Waterloo",110.8,"StatCan NHPI 18-10-0205-01"
2020-07-01,"Kitchener-Cambridge-Waterloo",111.6,"StatCan NHPI 18-10-0205-01"
2020-08-01,"Kitchener-Cambridge-Waterloo",112.3,"StatCan NHPI 18-10-0205-01"
2020-09-01,"Kitchener-Cambridge-Waterloo",113.1,"StatCan NHPI 18-10-0205-01"
2020-10-01,"Kitchener-Cambridge-Waterloo",114.9,"StatCan NHPI 18-10-0205-01"
2020-11-01,"Kitchener-Cambridge-Waterloo",117.3,"StatCan NHPI 18-10-0205-01"
2020-12-01,"Kitchener-Cambridge-Waterloo",118.4,"StatCan NHPI 18-10-0205-01"
2021-01-01,"Kitchener-Cambridge-Waterloo",121.8,"StatCan NHPI 18-10-0205-01"
2021-02-01,"Kitchener-Cambridge-Waterloo",126.2,"StatCan NHPI 18-10-0205-01"
2021-03-01,"Kitchener-Cambridge-Waterloo",128.2,"StatCan NHPI 18-10-0205-01"
2021-04-01,"Kitchener-Cambridge-Waterloo",134,"StatCan NHPI 18-10-0205-01"
2021-05-01,"Kitchener-Cambridge-Waterloo",139.7,"StatCan NHPI 18-10-0205-01"
2021-06-01,"Kitchener-Cambridge-Waterloo",141.5,"StatCan NHPI 18-10-0205-01"
2021-07-01,"Kitchener-Cambridge-Waterloo",142.5,"StatCan NHPI 18-10-0205-01"
2021-08-01,"Kitchener-Cambridge-Waterloo",142.5,"StatCan NHPI 18-10-0205-01"
2021-09-01,"Kitchener-Cambridge-Waterloo",143.1,"StatCan NHPI 18-10-0205-01"
2021-10-01,"Kitchener-Cambridge-Waterloo",148.5,"StatCan NHPI 18-10-0205-01"
2021-11-01,"Kitchener-Cambridge-Waterloo",151.3,"StatCan NHPI 18-10-0205-01"
2021-12-01,"Kitchener-Cambridge-Waterloo",154.7,"StatCan NHPI 18-10-0205-01"
2022-01-01,"Kitchener-Cambridge-Waterloo",154.7,"StatCan NHPI 18-10-0205-01"
2022-02-01,"Kitchener-Cambridge-Waterloo",157.9,"StatCan NHPI 18-10-0205-01"
2022-03-01,"Kitchener-Cambridge-Waterloo",159.5,"StatCan NHPI 18-10-0205-01"
2022-04-01,"Kitchener-Cambridge-Waterloo",159.5,"StatCan NHPI 18-10-0205-01"
2022-05-01,"Kitchener-Cambridge-Waterloo",159.5,"StatCan NHPI 18-10-0205-01"
2022-06-01,"Kitchener-Cambridge-Waterloo",160.2,"StatCan NHPI 18-10-0205-01"
2022-07-01,"Kitchener-Cambridge-Waterloo",159,"StatCan NHPI 18-10-0205-01"
2022-08-01,"Kitchener-Cambridge-Waterloo",159.4,"StatCan NHPI 18-10-0205-01"
2022-09-01,"Kitchener-Cambridge-Waterloo",158.4,"StatCan NHPI 18-10-0205-01"
2022-10-01,"Kitchener-Cambridge-Waterloo",158.8,"StatCan NHPI 18-10-0205-01"
2022-11-01,"Kitchener-Cambridge-Waterloo",158.8,"StatCan NHPI 18-10-0205-01"
2022-12-01,"Kitchener-Cambridge-Waterloo",158.8,"StatCan NHPI 18-10-0205-01"
2023-01-01,"Kitchener-Cambridge-Waterloo",157.3,"StatCan NHPI 18-10-0205-01"
2023-02-01,"Kitchener-Cambridge-Waterloo",156.2,"StatCan NHPI 18-10-0205-01"
2023-03-01,"Kitchener-Cambridge-Waterloo",156.3,"StatCan NHPI 18-10-0205-01"
2023-04-01,"Kitchener-Cambridge-Waterloo",157.1,"StatCan NHPI 18-10-0205-01"
2023-05-01,"Kitchener-Cambridge-Waterloo",157.5,"StatCan NHPI 18-10-0205-01"
