"date","city","price_index","study_permit_inflow_proxy","housing_starts","policy_rate","year","month","log_price_index","policy_rate_z","study_permit_inflow_proxy_z","housing_starts_z"
2016-01-01,"Hamilton",97.4,135,1.765,0.5,2016,1,4.57882621064849,-0.778863992924754,-0.561259867763151,-0.585281777487683
2016-02-01,"Hamilton",97.9,110,2.584,0.5,2016,2,4.58394654953646,-0.778863992924754,-0.571877748554158,-0.529711928369368
2016-03-01,"Hamilton",97.9,115,4.602,0.5,2016,3,4.58394654953646,-0.778863992924754,-0.569754172395956,-0.392788905755495
2016-04-01,"Hamilton",97.9,160,2.027,0.5,2016,4,4.58394654953646,-0.778863992924754,-0.550641986972144,-0.567504853838112
2016-05-01,"Hamilton",98.1,305,2.417,0.5,2016,5,4.58598736657132,-0.778863992924754,-0.489058278384303,-0.541043020924628
2016-06-01,"Hamilton",98.1,380,3.589,0.5,2016,6,4.58598736657132,-0.778863992924754,-0.457204636011282,-0.461521820476929
2016-07-01,"Hamilton",98.8,200,4.311,0.5,2016,7,4.59309760475382,-0.778863992924754,-0.533653377706533,-0.412533504160171
2016-08-01,"Hamilton",99,1080,2.098,0.5,2016,8,4.59511985013459,-0.778863992924754,-0.159903973863085,-0.562687443230786
2016-09-01,"Hamilton",99,440,1.626,0.5,2016,9,4.59511985013459,-0.778863992924754,-0.431721722112865,-0.594713046141463
2016-10-01,"Hamilton",99,110,3.207,0.5,2016,10,4.59511985013459,-0.778863992924754,-0.571877748554158,-0.487440846561418
2016-11-01,"Hamilton",99.7,155,2.017,0.5,2016,11,4.60216567696779,-0.778863992924754,-0.552765563130345,-0.568183362374355
2016-12-01,"Hamilton",100,690,9.333,0.5,2016,12,4.60517018598809,-0.778863992924754,-0.325542914202795,-0.07178651725885
2017-01-01,"Hamilton",100.6,185,2.686,0.5,2017,1,4.61115225766564,-0.778863992924754,-0.540024106181137,-0.522791141299687
2017-02-01,"Hamilton",101.6,85,4.668,0.5,2017,2,4.62104353514438,-0.778863992924754,-0.582495629345165,-0.38831074941629
2017-03-01,"Hamilton",101.6,80,1.037,0.5,2017,3,4.62104353514438,-0.778863992924754,-0.584619205503366,-0.634677198926186
2017-04-01,"Hamilton",101.6,110,2.51,0.5,2017,4,4.62104353514438,-0.778863992924754,-0.571877748554158,-0.534732891537567
2017-05-01,"Hamilton",101.6,185,1.836,0.5,2017,5,4.62104353514438,-0.778863992924754,-0.540024106181137,-0.580464366880357
2017-06-01,"Hamilton",101.6,240,2.198,0.5,2017,6,4.62104353514438,-0.778863992924754,-0.516664768440921,-0.555902357868354
2017-07-01,"Hamilton",103.1,405,2.938,0.666666666666667,2017,7,4.63569939102291,-0.680476362885859,-0.446586755220275,-0.505692726186359
2017-08-01,"Hamilton",103.1,1425,4.678,0.75,2017,8,4.63569939102291,-0.631282547866411,-0.0133772189471885,-0.387632240880047
2017-09-01,"Hamilton",103.1,645,1.738,0.964285714285714,2017,9,4.63569939102291,-0.504784166387832,-0.344655099626608,-0.58711375053554
2017-10-01,"Hamilton",103.1,185,1.715,1,2017,10,4.63569939102291,-0.483701102808068,-0.540024106181137,-0.588674320168899
2017-11-01,"Hamilton",103.1,170,5.065,1,2017,11,4.63569939102291,-0.483701102808068,-0.546394834655741,-0.361373960527436
2017-12-01,"Hamilton",103,565,4.128,1,2017,12,4.63472898822964,-0.483701102808068,-0.37863231815783,-0.424950210373422
2018-01-01,"Hamilton",103.2,240,2.303,1.1195652173913,2018,1,4.63666885304746,-0.413118672562776,-0.516664768440921,-0.548778018237801
2018-02-01,"Hamilton",103.1,100,2.147,1.25,2018,2,4.63569939102291,-0.336119657749725,-0.576124900870561,-0.559362751403194
2018-03-01,"Hamilton",103.2,100,0.966,1.25,2018,3,4.63666885304746,-0.336119657749725,-0.576124900870561,-0.639494609533513
2018-04-01,"Hamilton",103.4,230,7.619,1.25,2018,4,4.63860496207433,-0.336119657749725,-0.520911920757324,-0.18808288037093
2018-05-01,"Hamilton",103.6,295,4.848,1.25,2018,5,4.64053732982538,-0.336119657749725,-0.493305430700706,-0.376097595763913
2018-06-01,"Hamilton",103.7,595,6.453,1.25,2018,6,4.64150211523548,-0.336119657749725,-0.365890861208622,-0.267196975696884
2018-07-01,"Hamilton",103.8,430,3.499,1.42045454545455,2018,7,4.64246597073179,-0.235495945209943,-0.435968874429268,-0.467628397303117
2018-08-01,"Hamilton",103.9,1310,2.439,1.5,2018,8,4.64342889810518,-0.188538212691382,-0.0622194705858208,-0.539550302144894
2018-09-01,"Hamilton",103.5,430,5.143,1.5,2018,9,4.63957161270542,-0.188538212691382,-0.435968874429268,-0.356081593944739
2018-10-01,"Hamilton",103.7,200,4.008,1.56521739130435,2018,10,4.64150211523548,-0.150038705284857,-0.533653377706533,-0.43309231280834
2018-11-01,"Hamilton",103.8,255,2.214,1.75,2018,11,4.64246597073179,-0.0409567676330392,-0.510294039966317,-0.554816744210365
2018-12-01,"Hamilton",103.8,685,1.674,1.75,2018,12,4.64246597073179,-0.0409567676330392,-0.327666490360996,-0.591456205167496
2019-01-01,"Hamilton",103.8,255,4.074,1.75,2019,1,4.64246597073179,-0.0409567676330392,-0.510294039966317,-0.428614156469135
2019-02-01,"Hamilton",103.8,140,1.898,1.75,2019,2,4.64246597073179,-0.0409567676330392,-0.559136291604949,-0.576257613955649
2019-03-01,"Hamilton",103.6,230,2.119,1.75,2019,3,4.64053732982538,-0.0409567676330392,-0.520911920757324,-0.561262575304675
2019-04-01,"Hamilton",103.9,330,5.621,1.75,2019,4,4.64342889810518,-0.0409567676330392,-0.478440397593296,-0.323648885912316
2019-05-01,"Hamilton",103.9,390,2.924,1.75,2019,5,4.64342889810518,-0.0409567676330392,-0.452957483694879,-0.5066426381371
2019-06-01,"Hamilton",104.6,385,1.775,1.75,2019,6,4.65014355163082,-0.0409567676330392,-0.455081059853081,-0.58460326895144
2019-07-01,"Hamilton",104.7,655,1.443,1.75,2019,7,4.65109911787649,-0.0409567676330392,-0.340407947310205,-0.607129752354714
2019-08-01,"Hamilton",104.6,1865,2.234,1.75,2019,8,4.65014355163082,-0.0409567676330392,0.173497482974535,-0.553459727137878
2019-09-01,"Hamilton",104.8,485,2.242,1.75,2019,9,4.65205377188694,-0.0409567676330392,-0.412609536689053,-0.552916920308884
2019-10-01,"Hamilton",104.3,175,8.569,1.75,2019,10,4.64727136200673,-0.0409567676330392,-0.54427125849754,-0.123624569427828
2019-11-01,"Hamilton",104.4,135,4.343,1.75,2019,11,4.64822967544854,-0.0409567676330392,-0.561259867763151,-0.410362276844193
2019-12-01,"Hamilton",104.4,760,0.839,1.75,2019,12,4.64822967544854,-0.0409567676330392,-0.295812847987975,-0.648111667943801
2020-01-01,"Hamilton",104.4,235,1.698,1.75,2020,1,4.64822967544854,-0.0409567676330392,-0.518788344599123,-0.589827784680513
2020-02-01,"Hamilton",104.6,100,6.996,1.75,2020,2,4.65014355163082,-0.0409567676330392,-0.576124900870561,-0.230353962178879
2020-03-01,"Hamilton",105,95,1.421,0.954545454545455,2020,3,4.65396035015752,-0.510534092818676,-0.578248477028762,-0.608622471134449
2020-04-01,"Hamilton",105.1,235,0.917,0.25,2020,4,4.65491227788291,-0.926445437983097,-0.518788344599123,-0.642819301361104
2020-05-01,"Hamilton",105.2,490,1.201,0.25,2020,5,4.65586330030361,-0.926445437983097,-0.410485960530851,-0.623549658931798
