Geography and institutions,2015 / 2016,2016 / 2017,2017 / 2018,2018 / 2019,2019 / 2020,2020 / 2021,2021 / 2022,2022 / 2023,2023 / 2024
"Memorial University of Newfoundland, Newfoundland and Labrador 13","2,343","2,535","2,847","3,138","3,648","3,567","3,192","4,710","5,454"
"College of the North Atlantic, Newfoundland and Labrador 14 15",63,75,60,93,327,405,315,384,687
"University of Prince Edward Island, Prince Edward Island",726,810,948,"1,107","1,320","1,395","1,542","1,680","2,004"
"Holland College, Prince Edward Island 16",105,168,366,453,615,591,492,588,816
"Collège de l'Île, Prince Edward Island 17",..,..,3,6,6,12,24,42,42
"Acadia University, Nova Scotia",501,516,519,561,552,498,450,480,540
"Atlantic School of Theology, Nova Scotia",3,6,6,0,6,6,6,6,6
"Cape Breton University, Nova Scotia",744,699,825,"1,842","3,372","3,072","2,448","3,942","6,966"
"Dalhousie University, Nova Scotia","2,991","3,396","3,690","3,996","4,449","4,503","4,455","4,596","4,221"
"University of King's College, Nova Scotia",39,39,39,42,42,42,54,45,33
"Mount Saint Vincent University, Nova Scotia",639,591,531,495,705,786,828,819,900
"Nova Scotia Agricultural College, Nova Scotia 18",..,..,..,..,..,..,..,..,..
"NSCAD University, Nova Scotia",108,120,162,207,222,195,156,153,123
"Université Sainte-Anne, Nova Scotia",153,147,99,111,165,135,126,156,138
"St. Francis Xavier University, Nova Scotia",252,300,279,321,327,315,321,336,378
"Saint Mary's University, Nova Scotia","2,235","2,331","2,307","2,295","2,268","1,980","2,010","1,773","1,767"
"Nova Scotia Community College (NSCC), Nova Scotia 19",..,6,3,540,921,771,717,954,"1,191"
"Mount Allison University, New Brunswick",207,213,177,186,255,270,306,309,369
"University of New Brunswick, New Brunswick","1,683","1,689","1,584","1,257","1,446","1,266","1,608","1,980","2,598"
"Université de Moncton, New Brunswick",870,777,693,756,783,816,"1,053","1,377","1,845"
"St. Thomas University, New Brunswick",126,135,150,168,186,183,159,165,177
"Maritime College of Forest Technology, New Brunswick",3,..,..,3,3,3,3,0,3
"New Brunswick Community College, New Brunswick 20 21",93,105,237,456,891,807,"1,170","1,737","2,556"
"Collège Communautaire du Nouveau-Brunswick, New Brunswick 22",357,378,357,495,807,699,783,"1,128","1,347"
"New Brunswick College of Craft and Design, New Brunswick",6,12,6,21,12,9,27,36,36
"Bishop's University, Quebec",354,435,552,615,744,519,570,585,516
"McGill University, Quebec","9,576","10,350","11,391","11,841","12,072","11,487","11,163","11,427","11,289"
"Université de Montréal, Quebec","9,288","9,258","9,492","9,939","10,521","9,774","10,923","11,799","12,507"
"Université Laval, Quebec","3,726","3,903","3,846","4,038","4,482","4,083","4,389","5,328","6,054"
"Université de Sherbrooke, Quebec","1,665","1,698","1,779","1,860","1,935","1,404","1,941","2,214","2,565"
