date,city,study_permit_inflow_proxy
2015-01-01,Guelph,35
2015-01-01,Hamilton,85
2015-01-01,Kitchener-Cambridge-Waterloo,170
2015-01-01,London,120
2015-01-01,Oshawa,35
2015-01-01,Ottawa,245
2015-01-01,Toronto,1090
2015-01-01,Windsor,95
2015-02-01,Guelph,20
2015-02-01,Hamilton,60
2015-02-01,Kitchener-Cambridge-Waterloo,125
2015-02-01,London,125
2015-02-01,Oshawa,35
2015-02-01,Ottawa,170
2015-02-01,Toronto,720
2015-02-01,Windsor,65
2015-03-01,Guelph,25
2015-03-01,Hamilton,70
2015-03-01,Kitchener-Cambridge-Waterloo,125
2015-03-01,London,110
2015-03-01,Oshawa,20
2015-03-01,Ottawa,125
2015-03-01,Toronto,695
2015-03-01,Windsor,45
2015-04-01,Guelph,30
2015-04-01,Hamilton,155
2015-04-01,Kitchener-Cambridge-Waterloo,225
2015-04-01,London,205
2015-04-01,Oshawa,30
2015-04-01,Ottawa,190
2015-04-01,Toronto,1315
2015-04-01,Windsor,90
2015-05-01,Guelph,35
2015-05-01,Hamilton,95
2015-05-01,Kitchener-Cambridge-Waterloo,280
2015-05-01,London,180
2015-05-01,Oshawa,35
2015-05-01,Ottawa,180
2015-05-01,Toronto,1495
2015-05-01,Windsor,60
2015-06-01,Guelph,55
2015-06-01,Hamilton,115
2015-06-01,Kitchener-Cambridge-Waterloo,225
2015-06-01,London,190
2015-06-01,Oshawa,40
2015-06-01,Ottawa,260
2015-06-01,Toronto,1375
2015-06-01,Windsor,45
2015-07-01,Guelph,95
2015-07-01,Hamilton,350
2015-07-01,Kitchener-Cambridge-Waterloo,715
2015-07-01,London,370
2015-07-01,Oshawa,70
2015-07-01,Ottawa,540
2015-07-01,Toronto,3175
2015-07-01,Windsor,215
2015-08-01,Guelph,190
2015-08-01,Hamilton,945
2015-08-01,Kitchener-Cambridge-Waterloo,1150
2015-08-01,London,1040
2015-08-01,Oshawa,235
2015-08-01,Ottawa,1850
2015-08-01,Toronto,6865
2015-08-01,Windsor,445
2015-09-01,Guelph,145
2015-09-01,Hamilton,260
2015-09-01,Kitchener-Cambridge-Waterloo,1065
2015-09-01,London,765
2015-09-01,Oshawa,115
2015-09-01,Ottawa,800
2015-09-01,Toronto,4315
2015-09-01,Windsor,290
2015-10-01,Guelph,30
2015-10-01,Hamilton,120
2015-10-01,Kitchener-Cambridge-Waterloo,220
2015-10-01,London,135
2015-10-01,Oshawa,25
2015-10-01,Ottawa,280
2015-10-01,Toronto,1240
2015-10-01,Windsor,75
2015-11-01,Guelph,30
2015-11-01,Hamilton,110
2015-11-01,Kitchener-Cambridge-Waterloo,225
2015-11-01,London,150
2015-11-01,Oshawa,40
2015-11-01,Ottawa,250
2015-11-01,Toronto,1415
2015-11-01,Windsor,90
2015-12-01,Guelph,50
2015-12-01,Hamilton,440
2015-12-01,Kitchener-Cambridge-Waterloo,490
2015-12-01,London,515
2015-12-01,Oshawa,95
2015-12-01,Ottawa,575
2015-12-01,Toronto,3035
2015-12-01,Windsor,255
2016-01-01,Guelph,55
2016-01-01,Hamilton,135
2016-01-01,Kitchener-Cambridge-Waterloo,265
2016-01-01,London,235
2016-01-01,Oshawa,30
2016-01-01,Ottawa,400
2016-01-01,Toronto,1890
2016-01-01,Windsor,130
2016-02-01,Guelph,35
2016-02-01,Hamilton,110
2016-02-01,Kitchener-Cambridge-Waterloo,235
2016-02-01,London,220
