EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2025,Q2,Apr,95,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2016,Q1,Feb,290,Ontario,Public Institution,University of Toronto
2022,Q3,Aug,85,Ontario,Private Institution,King's University College at Western University
2023,Q4,Dec,385,Ontario,Public Institution,Sheridan College at Canadian College of Technology and Trades
2024,Q2,May,335,Ontario,Public Institution,St Lawrence College
2016,Q4,Oct,15,Ontario,Private Institution,International Institute of Travel and Business
2025,Q4,Nov,35,Ontario,Private Institution,NewCastle College of Business and Technology
2019,Q4,Nov,75,Ontario,Public Institution,St Lawrence College
2016,Q3,Jul,45,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2024,Q4,Nov,10,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2024,Q1,Jan,560,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2024,Q4,Dec,440,Ontario,Public Institution,Niagara College Canada
2023,Q1,Mar,180,Ontario,Public Institution,McMaster University
2023,Q2,Jun,260,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2018,Q2,Jun,315,Ontario,Public Institution,Western University
2023,Q3,Jul,465,Ontario,Public Institution,La Cité collégiale
2020,Q2,May,150,Ontario,Public Institution,Georgian College
2017,Q4,Dec,1405,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2022,Q2,Apr,1445,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2020,Q3,Sep,270,Ontario,Public Institution,Toronto Metropolitan University
2020,Q4,Oct,40,Ontario,Public Institution,Durham College of Applied Arts and Technology
2019,Q3,Aug,10,Ontario,Private Institution,Flair College of Management and Technology
2017,Q3,Aug,5,Ontario,Private Institution,ILSC Toronto
2023,Q3,Sep,815,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2022,Q3,Aug,15,Ontario,Private Institution,Anderson College of Health Business and Technology
2025,Q4,Nov,25,Ontario,Private Institution,North American School of Information Technology Inc NASIT
2015,Q2,Apr,195,Ontario,Public Institution,Humber College Institute of Technology and Advanced Learning Humber Lakeshore Campus
2023,Q1,Feb,410,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2021,Q2,Apr,70,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2022,Q1,Jan,--,Ontario,Private Institution,Avola College Of Hairstyling and Esthetics
2021,Q3,Jul,5,Ontario,Private Institution,NewCastle College of Business and Technology
2025,Q3,Jul,55,Ontario,Public Institution,Durham College of Applied Arts and Technology
