"model","parameter","Rhat","Bulk_ESS","Tail_ESS"
"Model 1","Intercept",1.00399015082066,746.619844976261,1033.65181933711
"Model 1","intl_students_s",1.00030668935145,2190.88980742173,1761.96725237073
"Model 1","policy_rate",1.00127345948788,1656.78564841607,1490.09980519226
"Model 1","sd(Intercept)",1.00081388370531,1110.60676168802,1384.64086764378
"Model 1","sd(intl_students_s)",1.0016147342605,945.016311448134,1580.58344589675
"Model 1","cor(Intercept,intl_students_s)",1.00398598170928,902.377624735568,1450.18971757144
"Model 1","sigma",1.00061432328809,1511.0976707276,1839.05577961
"Model 2","Intercept",1.0027637702472,1194.18086502002,1888.72460099763
"Model 2","intl_students_s",1.00185154631745,3518.96089975162,2856.78589952026
"Model 2","policy_rate",1.00148644263672,865.137007582565,1139.61597400331
"Model 2","house_supply_s",1.00231455856432,2045.47678756391,2330.45020840934
"Model 2","sd(Intercept)",1.00156230517873,1044.80777433439,1244.20639135497
"Model 2","sd(intl_students_s)",1.00232260095979,738.053304489661,866.381480860478
"Model 2","sd(house_supply_s)",1.00153874098091,1276.09500732443,1232.56764109841
"Model 2","cor(Intercept,intl_students_s)",1.00463971221865,1265.30738748176,1996.4943831141
"Model 2","cor(Intercept,house_supply_s)",1.0012961762422,2726.01941039289,3041.86573401701
"Model 2","cor(intl_students_s,house_supply_s)",1.00107635789051,3180.82516182871,2847.82153641638
"Model 2","sigma",1.00149108059493,875.263842470427,1475.54413155916
