"cma","n_obs","coverage_50","coverage_95","model"
"Hamilton",8,100,100,"Model 1 (Base)"
"Kitchener-Cambridge-Waterloo",8,37.5,87.5,"Model 1 (Base)"
"London",8,62.5,100,"Model 1 (Base)"
"Ottawa-Gatineau",8,37.5,100,"Model 1 (Base)"
"St. Catharines-Niagara",8,75,100,"Model 1 (Base)"
"Toronto",8,87.5,100,"Model 1 (Base)"
"Hamilton",8,100,100,"Model 2 (Supply-Adjusted)"
"Kitchener-Cambridge-Waterloo",8,62.5,87.5,"Model 2 (Supply-Adjusted)"
"London",8,75,100,"Model 2 (Supply-Adjusted)"
"Ottawa-Gatineau",8,25,100,"Model 2 (Supply-Adjusted)"
"St. Catharines-Niagara",8,75,100,"Model 2 (Supply-Adjusted)"
"Toronto",8,100,100,"Model 2 (Supply-Adjusted)"
